,Ans_count,AnsRank,EPbias
0,1,1,1.0
1,2,1,0.453576618763
2,2,2,0.546423381237
3,3,1,0.374883431769
4,3,2,0.254895865713
5,3,3,0.370220702518
6,4,1,0.328706624606
7,4,2,0.18927444795
8,4,3,0.218296529968
9,4,4,0.263722397476
10,5,1,0.305304010349
11,5,2,0.155239327296
12,5,3,0.173350582147
13,5,4,0.179818887451
14,5,5,0.186287192755
15,6,1,0.284153005464
16,6,2,0.136612021858
17,6,3,0.0983606557377
18,6,4,0.169398907104
19,6,5,0.117486338798
20,6,6,0.193989071038
21,7,1,0.299401197605
22,7,2,0.0778443113772
23,7,3,0.0658682634731
24,7,4,0.137724550898
25,7,5,0.149700598802
26,7,6,0.107784431138
27,7,7,0.161676646707
28,8,1,0.340136054422
29,8,2,0.0748299319728
30,8,3,0.108843537415
31,8,4,0.12925170068
32,8,5,0.0748299319728
33,8,6,0.108843537415
34,8,7,0.0680272108844
35,8,8,0.0952380952381
36,9,1,0.382978723404
37,9,2,0.031914893617
38,9,3,0.0851063829787
39,9,4,0.0851063829787
40,9,5,0.0851063829787
41,9,6,0.063829787234
42,9,7,0.0212765957447
43,9,8,0.063829787234
44,9,9,0.18085106383
45,10,1,0.416
46,10,2,0.088
47,10,3,0.024
48,10,4,0.032
49,10,5,0.056
50,10,6,0.032
51,10,7,0.048
52,10,8,0.112
53,10,9,0.144
54,10,10,0.048
55,11,1,0.352941176471
56,11,3,0.0588235294118
57,11,4,0.176470588235
58,11,5,0.0588235294118
59,11,7,0.117647058824
60,11,10,0.176470588235
61,11,11,0.0588235294118
62,12,1,0.416666666667
63,12,6,0.166666666667
64,12,7,0.0833333333333
65,12,8,0.0833333333333
66,12,10,0.0833333333333
67,12,11,0.166666666667
